,age,gender,device,date,sum,count
226,45-54,F,iOS,2014-03-17,65.0,5
227,45-54,F,iOS,2014-03-18,146.0,5
228,45-54,F,iOS,2014-03-19,60.0,3
229,45-54,F,iOS,2014-03-20,19.0,3
230,45-54,F,iOS,2014-03-21,82.0,4
231,45-54,F,iOS,2014-03-22,88.0,5
232,45-54,F,iOS,2014-03-23,0.0,1
233,45-54,F,iOS,2014-03-24,0.0,1
234,45-54,F,iOS,2014-03-25,0.0,3
235,45-54,F,iOS,2014-03-26,224.0,9
236,45-54,F,iOS,2014-03-27,124.0,5
237,45-54,F,iOS,2014-03-28,24.0,3
238,45-54,F,iOS,2014-03-29,43.0,6
239,45-54,F,iOS,2014-03-30,52.0,3
240,45-54,F,iOS,2014-03-31,13.0,1
241,55+,F,android,2014-03-01,40.0,9
242,55+,F,android,2014-03-02,51.0,15
243,55+,F,android,2014-03-03,53.0,5
244,55+,F,android,2014-03-04,66.0,12
245,55+,F,android,2014-03-05,0.0,2
246,55+,F,android,2014-03-06,132.0,6
247,55+,F,android,2014-03-07,216.0,11
248,55+,F,android,2014-03-08,54.0,5
249,55+,F,android,2014-03-09,122.0,3
250,55+,F,android,2014-03-10,42.0,1
251,55+,F,android,2014-03-11,151.0,7
252,55+,F,android,2014-03-12,58.0,6
253,55+,F,android,2014-03-13,219.0,7
254,55+,F,android,2014-03-14,54.0,3
255,55+,F,android,2014-03-15,66.0,7
256,55+,F,android,2014-03-16,42.0,3
257,55+,F,android,2014-03-17,91.0,2
258,55+,F,android,2014-03-18,131.0,6
259,55+,F,android,2014-03-19,0.0,2
260,55+,F,android,2014-03-20,95.0,2
261,55+,F,android,2014-03-21,46.0,2
262,55+,F,android,2014-03-22,146.0,4
263,55+,F,android,2014-03-23,125.0,3
264,55+,F,android,2014-03-24,35.0,2
265,55+,F,android,2014-03-25,61.0,2
266,55+,F,android,2014-03-26,72.0,4
267,55+,F,android,2014-03-27,83.0,2
268,55+,F,android,2014-03-30,53.0,4
269,55+,F,android,2014-03-31,42.0,1
270,55+,F,iOS,2014-03-01,9.0,10
271,55+,F,iOS,2014-03-02,83.0,7
272,55+,F,iOS,2014-03-03,29.0,5
273,55+,F,iOS,2014-03-04,0.0,4
274,55+,F,iOS,2014-03-05,82.0,6
275,55+,F,iOS,2014-03-06,0.0,1
276,55+,F,iOS,2014-03-07,0.0,3
277,55+,F,iOS,2014-03-08,106.0,5
278,55+,F,iOS,2014-03-09,32.0,7
279,55+,F,iOS,2014-03-10,27.0,5
280,55+,F,iOS,2014-03-11,131.0,2
281,55+,F,iOS,2014-03-12,58.0,2
282,55+,F,iOS,2014-03-13,0.0,2
283,55+,F,iOS,2014-03-14,0.0,3
284,55+,F,iOS,2014-03-15,83.0,6
285,55+,F,iOS,2014-03-16,35.0,2
286,55+,F,iOS,2014-03-17,0.0,3
287,55+,F,iOS,2014-03-18,112.0,5
288,55+,F,iOS,2014-03-19,50.0,1
289,55+,F,iOS,2014-03-20,141.0,5
290,55+,F,iOS,2014-03-21,40.0,3
291,55+,F,iOS,2014-03-22,0.0,2
292,55+,F,iOS,2014-03-23,49.0,2
293,55+,F,iOS,2014-03-24,29.0,1
294,55+,F,iOS,2014-03-25,104.0,3
295,55+,F,iOS,2014-03-26,164.0,5
296,55+,F,iOS,2014-03-27,0.0,2
297,55+,F,iOS,2014-03-28,60.0,2
298,55+,F,iOS,2014-03-29,0.0,2
299,55+,F,iOS,2014-03-30,86.0,3
